Season,Winner Country,Winner Club,Score,Runner-up Club,Runner-up Country,Venue,Team Logo,,,Key
1984–85,Italy,Juventus,1–0,Liverpool,England,"Heysel Stadium, Brussels, Belgium",https://drive.google.com/file/d/1fAi1Q_uI9W5FWePlKPBQK7s0GCUIyNOV/view?usp=sharing,,,
1985–86,Romania,Steaua București,0–0*,Barcelona,Spain,"Ramón Sánchez Pizjuán, Seville, Spain",https://drive.google.com/file/d/1_QjVU3Njsx-IMV0jz9T5mUoZQZpMTzXX/view?usp=sharing,,,
1986–87,Portugal,Porto,2–1,Bayern Munich,West Germany,"Praterstadion, Vienna, Austria",https://drive.google.com/file/d/15qyg_GE3eQYJuZw3ALFTI_ZlUn6Y1YcP/view?usp=sharing,,,
1987–88,Netherlands,PSV Eindhoven,0–0*,Benfica,Portugal,"Neckarstadion, Stuttgart, West Germany",https://drive.google.com/file/d/1gooNEyjoaAE4bOTgsRgEFELxrshzgBBC/view?usp=sharing,,,
1988–89,Italy,Milan,4–0,Steaua București,Romania,"Camp Nou, Barcelona, Spain",https://drive.google.com/file/d/1b0LI2XIN_mtZEnamyPbM-uwDUcQzSbnJ/view?usp=sharing,,,
1989–90,Italy,Milan,1–0,Benfica,Portugal,"Praterstadion, Vienna, Austria",https://drive.google.com/file/d/1b0LI2XIN_mtZEnamyPbM-uwDUcQzSbnJ/view?usp=sharing,,,
1990–91,Yugoslavia,Red Star Belgrade,0–0*,Marseille,France,"Stadio San Nicola, Bari, Italy",https://drive.google.com/file/d/1HMuaNzY2pmQ3xwOizsZVVC_qleUnjbXI/view?usp=sharing,,,
1991–92,Spain,Barcelona,1–0†,Sampdoria,Italy,"Wembley Stadium, London, England",https://drive.google.com/file/d/1zFRQbu_3VxDVUOB8ho57VdgYJg8Yzr9l/view?usp=sharing,,,
1992–93,France,Marseille,1–0,Milan,Italy,"Olympiastadion, Munich, Germany",https://drive.google.com/file/d/17U7-ref7XMwBQ5W25vP1rKOFweXPDqO-/view?usp=sharing,,,
1993–94,Italy,Milan,4–0,Barcelona,Spain,"Olympic Stadium, Athens, Greece",https://drive.google.com/file/d/1b0LI2XIN_mtZEnamyPbM-uwDUcQzSbnJ/view?usp=sharing,,,
1994–95,Netherlands,Ajax,1–0,Milan,Italy,"Ernst-Happel-Stadion, Vienna, Austria",https://drive.google.com/file/d/1RFcvQYTecJA9Ja3s_jVWPu8hs06C1RgW/view?usp=sharing,,,
1995–96,Italy,Juventus,1–1*,Ajax,Netherlands,"Stadio Olimpico, Rome, Italy",https://drive.google.com/file/d/1fAi1Q_uI9W5FWePlKPBQK7s0GCUIyNOV/view?usp=sharing,,,
1996–97,Germany,Borussia Dortmund,3–1,Juventus,Italy,"Olympiastadion, Munich, Germany",https://drive.google.com/file/d/1Ut6dwtnwWTXQHC92DpUdw6XUMm4963jp/view?usp=sharing,,,
1997–98,Spain,Real Madrid,1–0,Juventus,Italy,"Amsterdam Arena, Amsterdam, Netherlands",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
1998–99,England,Manchester United,2–1,Bayern Munich,Germany,"Camp Nou, Barcelona, Spain",https://drive.google.com/file/d/1VzpKnwMvRNWaNxxkHJwSLJT0nVcHFEyR/view?usp=sharing,,,
