Team,Season,Jersey Type,Design,Color,Brand,Sponsor,League,Nation,Rating,Worn By Player,Image 1,Image 2,Tournament won,Standing,Team Logo,,,,,
Royal Challengers Banglore,2012,Home,Red/Gold/Blue,Red,Reebok,Mc Dowell's No.1,IPL,India,4.3/5,"Virat Kohli, Chris Gayle, AB de Villiers",https://drive.google.com/file/d/1zJXvzRzTTt4r9eRVEtYRH3XeCAAuwJRR/view?usp=sharing,,NO,5,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,2020,Mumbai Indians,Delhi Capitals
Royal Challengers Banglore,2011,Home,Red/Gold/Blue,Red,Reebok,Mc Dowell's No.1,IPL,India,4.3/5,"Virat Kohli, Chris Gayle, AB de Villiers",https://drive.google.com/file/d/1ne0eottS6FV2yC_Q_sSxV5qgmlPRMwB0/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,2021,Chennai Super Kings,Kolkata Knight Riders
Royal Challengers Banglore,2010,Home,Red/Gold,Red,Reebok,Royal Challenge,IPL,India,4.3/5,"Virat Kohli, Jacques Kallis, Anil Kumble",https://drive.google.com/file/d/1saQ_d1u1o8HI09zkUEHpxya5RDYldRND/view?usp=sharing,,NO,3,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,2022,Gujarat Titans,Rajasthan Royals
Royal Challengers Banglore,2009,Home,Red/Gold,Red,Reebok,Royal Challenge,IPL,India,4.3/5,"Virat Kohli, Anil Kumble, Rahul Dravid",https://drive.google.com/file/d/1LfIFfg-ME_t1VFXpz43wqnMJtIAHZht3/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,2023,Chennai Super Kings,Gujarat Titans
Royal Challengers Banglore,2008,Home,Red/Gold,Red,Reebok,Royal Challenge,IPL,India,4.3/5,"Virat Kohli, Rahul Dravid, Jacques Kallis",https://drive.google.com/file/d/1wl5_gqqpHP4TWTyrQzs5YuHcoCMWMiI1/view?usp=sharing,,NO,7,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,2024,Kolkata Knight Riders,Sunrisers Hyderabad
Royal Challengers Bengaluru,2025,Special,Green/Gold,Green,PUMA,Qatar Airways,IPL,India,4.7/5,"Virat Kohli, Rajat Patidar, Phil Salt",https://drive.google.com/file/d/16TMc9iG-qWI3F9Cka9B73vpfOTRP-kUP/view?usp=sharing,https://drive.google.com/file/d/10O9ipvSwnBoIUjsFO6rL4sWjRFEwSPqr/view?usp=sharing,Yes,1,https://drive.google.com/file/d/1jidOzJoL4Ol8M7NEhgVK1ttKw0yYRSBw/view?usp=sharing,,,2025,Royal Challengers Bangalore,Punjab Kings
Royal Challengers Bengaluru,2024,Special,Green/Gold,Green,PUMA,Qatar Airways,IPL,India,4.7/5,"Virat Kohli, Faf du Plessis, Dinesh Karthik",https://drive.google.com/file/d/1Cz0dTpEnoCwstHGx2JFAiLSDV2_J1vdw/view?usp=sharing,,NO,4,https://drive.google.com/file/d/1jidOzJoL4Ol8M7NEhgVK1ttKw0yYRSBw/view?usp=sharing,,,,,
Royal Challengers Banglore,2023,Special,Green/Gold,Green,PUMA,Qatar Airways,IPL,India,4.7/5,"Virat Kohli, Faf du Plessis, Mohammed Siraj",https://drive.google.com/file/d/1tMSGh5a9d00uLvJDmjtLp5V0MBBntUHW/view?usp=sharing,,NO,6,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2022,Special,Green/Gold,Green,PUMA,Muthoot Fincorp,IPL,India,4.7/5,"Virat Kohli, Faf du Plessis, Wanindu Hasaranga",https://drive.google.com/file/d/1KM-yk_zqGNSc38K707x2JfGP67nXuGjN/view?usp=sharing,https://drive.google.com/file/d/1j6v3aMzM0_NWq9gfbC73wS0Fq-oxr1Z_/view?usp=sharing,NO,3,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2021,Special,Blue/Black,Blue,PUMA,Muthoot Fincorp,IPL,India,4.9/5,"Virat Kohli, Glenn Maxwell, Harshal Patel",https://drive.google.com/file/d/1KCrDUJnithoos3bQNgZFHVSFRg5UQikc/view?usp=sharing,https://drive.google.com/file/d/1xHk35za9baiXtV0Rpv-lIIHneLdKJWvK/view?usp=sharing,NO,4,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
